City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
40,Asau,RO,47.32,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
64,Ancud,CL,48.81,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
68,Hobart,AU,51.66,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
100,Soyo,AO,77.2,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
111,Grand-Santi,GF,84.61,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
115,Port Hardy,CA,46.58,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
121,Kindu,CD,71.65,broken clouds,-2.95,25.95,Résidence Okanda
126,Del Rio,US,80.62,few clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
148,Longyearbyen,SJ,19.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
166,Goderich,CA,73.72,scattered clouds,43.7501,-81.7165,Harmony Inn
173,Santa Maria,BR,74.5,few clouds,-29.6842,-53.8069,Hotel Morotin
180,Port Blair,IN,80.71,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
181,Lorengau,PG,81.86,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
198,Upernavik,GL,26.92,overcast clouds,72.7868,-56.1549,Café de Upernavik
209,Lompoc,US,76.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
218,Tosya,TR,51.26,broken clouds,41.0155,34.0401,Galeri Basri
226,Brae,GB,52.05,overcast clouds,60.3964,-1.353,Busta House Hotel
238,Ketchikan,US,43.27,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
248,Ruidoso,US,64.96,few clouds,33.3317,-105.673,Inn of the Mountain Gods
254,Kristinehamn,SE,45.27,overcast clouds,59.3098,14.1081,Hotell Marieberg
255,Elblag,PL,52.97,scattered clouds,54.1522,19.4088,HOTEL RESTAURACJA ŻUŁAWY ELBLĄG
259,Zwedru,LR,72.88,light rain,6.0667,-8.1281,Elijah Worjloh
