City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saskylakh,RU,71.9167,114.0833,3.31,99,67,5.77,broken clouds
1,Atuona,PF,-9.8,-139.0333,77.18,74,31,17.34,scattered clouds
2,Udachnyy,RU,66.4167,112.4,30.45,92,100,11.23,snow
3,Hermanus,ZA,-34.4187,19.2345,65.8,85,81,14.76,broken clouds
4,Lubango,AO,-14.9172,13.4925,63.77,78,42,2.39,scattered clouds
5,Khatanga,RU,71.9667,102.5,6.96,88,33,8.81,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,44.29,98,100,6.4,moderate rain
7,Nikolskoye,RU,59.7035,30.7861,42.69,88,100,5.64,overcast clouds
8,Pangody,RU,65.85,74.4859,27.68,90,100,11.77,overcast clouds
9,Bluff,NZ,-46.6,168.3333,46.38,80,100,18.81,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,63.09,84,83,10.56,broken clouds
11,Albany,US,42.6001,-73.9662,62.33,63,100,0.78,overcast clouds
12,Ribeira Grande,PT,38.5167,-28.7,64.8,68,40,8.99,scattered clouds
13,Dicabisagan,PH,17.0818,122.4157,77.05,90,18,3.56,few clouds
14,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,25.32,clear sky
15,Rikitea,PF,-23.1203,-134.9692,72.79,79,100,11.9,overcast clouds
16,Biak,ID,-0.9131,122.8766,77.88,75,97,0.94,moderate rain
17,East London,ZA,-33.0153,27.9116,68.99,83,100,7.56,overcast clouds
18,Gorodovikovsk,RU,46.0878,41.9335,52.68,55,100,9.64,overcast clouds
19,Vardo,NO,70.3705,31.1107,39.18,60,75,23.02,broken clouds
20,Castro,BR,-24.7911,-50.0119,68.9,68,0,2.46,clear sky
21,Linguere,SN,15.3953,-15.1193,78.12,68,69,14.92,moderate rain
22,Ushuaia,AR,-54.8,-68.3,49.66,71,75,8.05,broken clouds
23,Waspan,NI,14.7419,-83.9717,81.68,81,42,5.21,scattered clouds
24,Cherskiy,RU,68.75,161.3,10.47,95,100,9.06,light snow
25,Tiksi,RU,71.6872,128.8694,20.73,95,100,10.31,overcast clouds
26,Magistralnyy,RU,56.1725,107.4458,39.25,82,100,4.14,light rain
27,Provideniya,RU,64.3833,-173.3,26.82,87,55,5.46,broken clouds
28,Carnarvon,AU,-24.8667,113.6333,67.57,67,13,15.97,few clouds
29,Sungaipenuh,ID,-2.0833,101.3833,65.89,97,100,0.56,overcast clouds
30,New Norfolk,AU,-42.7826,147.0587,51.3,79,100,1.99,overcast clouds
31,Cockburn Town,TC,21.4612,-71.1419,82.18,69,100,9.26,overcast clouds
32,Cururupu,BR,-1.8283,-44.8683,79.57,75,60,5.19,broken clouds
33,Tasiilaq,GL,65.6145,-37.6368,32.16,97,100,6.69,snow
34,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,14,9.15,few clouds
35,Barrow,US,71.2906,-156.7887,21.22,86,20,20.71,few clouds
36,Zhigansk,RU,66.7697,123.3711,22.91,91,100,28.52,overcast clouds
37,Constitucion,CL,-35.3333,-72.4167,56.61,58,81,6.85,broken clouds
38,Nara,JP,34.6851,135.8049,58.5,47,60,3.96,broken clouds
39,Hithadhoo,MV,-0.6,73.0833,81.41,72,93,5.73,overcast clouds
40,Asau,RO,46.4333,26.4,47.32,91,39,5.53,scattered clouds
41,Tutoia,BR,-2.7619,-42.2744,79.88,84,39,15.05,scattered clouds
42,Nhulunbuy,AU,-12.2333,136.7667,83.32,77,94,10.96,overcast clouds
